"Occupation - National Occupational Classification (NOC) 2016 (693A)","Total - Period of immigration [4]","  1980 to 1990","  1991 to 2000","  2001 to 2010","    2001 to 2005","    2006 to 2010","  2011 to 2016 [5]", 
"          4169 Other professional occupations in social science, n.e.c.",815,200,210,300,185,115,105 
"      42 Paraprofessional occupations in legal, social, community and education services",96250,15115,27050,38090,18460,19630,16005 
"        421 Paraprofessional occupations in legal, social, community and education services",96250,15115,27045,38090,18455,19630,16000 
"          4211 Paralegal and related occupations",5410,1310,1730,1840,1055,785,530 
"          4212 Social and community service workers",23250,4620,6720,7910,3870,4040,3995 
"          4214 Early childhood educators and assistants",53425,6975,14090,22970,10710,12270,9380 
"          4215 Instructors of persons with disabilities",1700,355,615,570,295,275,165 
"          4216 Other instructors",10555,1425,3415,4155,2230,1925,1565 
"          4217 Other religious occupations",1915,425,475,640,310,340,370 
"      43 Occupations in front-line public protection services",8205,2550,2805,2450,1410,1040,400 
"        431 Occupations in front-line public protection services",8205,2555,2800,2450,1405,1040,405 
"          4311 Police officers (except commissioned)",4815,1610,1580,1395,725,670,235 
"          4312 Firefighters",925,295,285,295,145,145,55 
"          4313 Non-commissioned ranks of the Canadian Armed Forces",2460,650,940,760,540,220,105 
"      44 Care providers and educational, legal and public protection support occupations",90220,13310,21820,31680,13525,18160,23410 
"        441 Home care providers and educational support occupations",87060,12340,20870,30765,13055,17710,23090 
"          4411 Home child care providers",33230,3675,6475,11580,4495,7085,11500 
"          4412 Home support workers, housekeepers and related occupations",32250,4860,8080,10645,4120,6520,8665 
"          4413 Elementary and secondary school teacher assistants",21570,3795,6320,8545,4430,4110,2920 
"        442 Legal and public protection support occupations",3165,975,950,920,470,445,320 
"          4421 Sheriffs and bailiffs",215,50,55,85,35,50,25 
"          4422 Correctional service officers",1710,540,520,495,280,220,155 
"          4423 By-law enforcement and other regulatory officers, n.e.c.",1240,385,380,340,160,180,135 
"    5 Occupations in art, culture, recreation and sport",96030,17345,27415,34695,17630,17065,16580 
"      51 Professional occupations in art and culture",35360,7040,10200,12215,6250,5970,5905 
"        511 Librarians, archivists, conservators and curators",1605,425,475,455,250,200,250 
"          5111 Librarians",1195,340,375,335,185,145,155 
"          5112 Conservators and curators",200,45,55,40,25,20,60 
"          5113 Archivists",205,40,45,75,40,35,40 
"        512 Writing, translating and related communications professionals",14730,2880,3970,5255,2620,2635,2620 
"          5121 Authors and writers",4210,915,1160,1415,730,685,720 
"          5122 Editors",2575,510,745,870,445,420,445 
"          5123 Journalists",1515,315,410,500,270,230,285 
"          5125 Translators, terminologists and interpreters",6430,1140,1655,2470,1170,1300,1165 
"        513 Creative and performing artists",19025,3735,5755,6505,3375,3125,3030 
"          5131 Producers, directors, choreographers and related occupations",3845,860,1090,1255,625,635,640 
